id,czech,part_of_speech,gender_aspect,genitive,level,category,russian,ukrainian,english,note,image_query,image_url,example_1_cs,example_1_ru,example_1_uk,example_2_cs,example_2_ru,example_2_uk
321,papír,сущ.,м.р.,papíru,A1,Образование,бумага,папір,paper,,paper,https://loremflickr.com/640/480/paper,Dej mi kus papíru.,Дай мне лист бумаги.,Дай мені аркуш паперу.,Papír je na stole.,Бумага на столе.,Папір на столі.
322,pero,сущ.,ср.р.,pera,A1,Образование,ручка,ручка,pen,,pen,https://loremflickr.com/640/480/pen,Můžeš mi půjčit pero?,Можешь одолжить мне ручку?,Можеш позичити мені ручку?,Pero nepíše.,Ручка не пишет.,Ручка не пише.
323,prázdniny,сущ.,мн.ч.,prázdnin,A1,Образование,каникулы,канікули,holidays; school break,,"holiday,vacation","https://loremflickr.com/640/480/holiday,vacation",O prázdninách jedeme k moři.,На каникулах мы едем на море.,На канікулах ми їдемо на море.,Prázdniny začínají v červenci.,Каникулы начинаются в июле.,Канікули починаються в липні.
324,přestávka,сущ.,ж.р.,přestávky,A1,Образование,перемена; перерыв,перерва,break; recess,,"break,pause","https://loremflickr.com/640/480/break,pause",Máme deset minut přestávku.,У нас перерыв десять минут.,У нас перерва десять хвилин.,Po přestávce pokračujeme.,После перерыва продолжаем.,Після перерви продовжуємо.
325,sešit,сущ.,м.р.,sešitu,A1,Образование,тетрадь,зошит,notebook; exercise book,,notebook,https://loremflickr.com/640/480/notebook,Napiš to do sešitu.,Запиши это в тетрадь.,Запиши це в зошит.,Sešit mám v batohu.,Тетрадь у меня в рюкзаке.,Зошит у мене в рюкзаку.
326,správně,нареч.,,,A1,Образование,правильно,правильно,correctly,,,,Odpověděl jsi správně.,Ты ответил правильно.,Ти відповів правильно.,Řekl jsem to správně?,Я сказал это правильно?,Я сказав це правильно?
327,student,сущ.,м.р.,studenta,A1,Образование,студент,студент,student,,student,https://loremflickr.com/640/480/student,Jsem student.,Я студент.,Я студент.,Studenti mají slevu.,У студентов есть скидка.,Студенти мають знижку.
328,studovat,гл.,несов.,,A1,Образование,учиться; изучать,навчатися; вивчати,to study,,studying,https://loremflickr.com/640/480/studying,Studuji na univerzitě.,Я учусь в университете.,Я навчаюся в університеті.,Studuje medicínu.,Он изучает медицину.,Він вивчає медицину.
329,škola,сущ.,ж.р.,školy,A1,Образование,школа,школа,school,,school,https://loremflickr.com/640/480/school,Děti jdou do školy.,Дети идут в школу.,Діти йдуть до школи.,Škola začíná v osm.,Школа начинается в восемь.,Школа починається о восьмій.
330,test,сущ.,м.р.,testu,A1,Образование,тест,тест,test; exam,,"exam,test","https://loremflickr.com/640/480/exam,test",Zítra píšeme test.,Завтра мы пишем тест.,Завтра ми пишемо тест.,Test byl těžký.,Тест был трудный.,Тест був важкий.
331,třída,сущ.,ж.р.,třídy,A1,Образование,класс; проспект,клас; проспект,class; avenue,,classroom,https://loremflickr.com/640/480/classroom,V naší třídě je dvacet dětí.,В нашем классе двадцать детей.,У нашому класі двадцятеро дітей.,Bydlím na Vinohradské třídě.,Я живу на Виноградском проспекте.,Я живу на Виноградському проспекті.
332,tužka,сущ.,ж.р.,tužky,A1,Образование,карандаш,олівець,pencil,,pencil,https://loremflickr.com/640/480/pencil,Píšu tužkou.,Я пишу карандашом.,Я пишу олівцем.,Tužka je tupá.,Карандаш тупой.,Олівець тупий.
333,učebnice,сущ.,ж.р.,učebnice,A1,Образование,учебник,підручник,textbook,,textbook,https://loremflickr.com/640/480/textbook,Otevřete učebnici na straně deset.,Откройте учебник на странице десять.,Відкрийте підручник на сторінці десять.,Učebnice češtiny je drahá.,Учебник чешского дорогой.,Підручник чеської дорогий.
334,učit,гл.,несов.,,A1,Образование,учить; преподавать,навчати; викладати,to teach,,"teacher,teaching","https://loremflickr.com/640/480/teacher,teaching",Učím děti angličtinu.,Я учу детей английскому.,Я вчу дітей англійської.,Kdo tě učí česky?,Кто учит тебя чешскому?,Хто вчить тебе чеської?
335,učit se,гл.,несов.,,A1,Образование,учиться,вчитися,to learn; to study,,learning,https://loremflickr.com/640/480/learning,Učím se česky rok.,Я учу чешский год.,Я вчу чеську рік.,Musím se učit na test.,Мне нужно готовиться к тесту.,Мені треба вчитися до тесту.
336,univerzita,сущ.,ж.р.,univerzity,A1,Образование,университет,університет,university,,university,https://loremflickr.com/640/480/university,Studuji na univerzitě.,Я учусь в университете.,Я навчаюся в університеті.,Univerzita je v centru.,Университет в центре.,Університет у центрі.
337,zapomenout,гл.,сов.,,A1,Образование,забыть,забути,to forget,,,,Zapomněl jsem heslo.,Я забыл пароль.,Я забув пароль.,Nezapomeň na schůzku.,Не забудь про встречу.,Не забудь про зустріч.
338,dopis,сущ.,м.р.,dopisu,A1,Общение и речь,письмо,лист,letter,,"letter,mail","https://loremflickr.com/640/480/letter,mail",Napsal jsem dopis babičce.,Я написал письмо бабушке.,Я написав листа бабусі.,Přišel mi dopis z úřadu.,Мне пришло письмо из учреждения.,Мені прийшов лист з установи.
339,jazyk,сущ.,м.р.,jazyka,A1,Общение и речь,язык,мова; язик,language; tongue,,language,https://loremflickr.com/640/480/language,Čeština je krásný jazyk.,Чешский — красивый язык.,Чеська — красива мова.,Učím se cizí jazyk.,Я учу иностранный язык.,Я вчу іноземну мову.
340,mluvit,гл.,несов.,,A1,Общение и речь,говорить,говорити,to speak; to talk,,speaking,https://loremflickr.com/640/480/speaking,Mluvím rusky a ukrajinsky.,Я говорю по-русски и по-украински.,Я говорю російською й українською.,"Mluvíte pomalu, prosím.","Говорите медленно, пожалуйста.","Говоріть повільно, будь ласка."
341,napsat,гл.,сов.,,A1,Общение и речь,написать,написати,to write,,,,Napsal jsem ti zprávu.,Я написал тебе сообщение.,Я написав тобі повідомлення.,"Napiš mi, až přijdeš.","Напиши мне, когда придёшь.","Напиши мені, коли прийдеш."
342,odpověď,сущ.,ж.р.,odpovědi,A1,Общение и речь,ответ,відповідь,answer; reply,,,,Čekám na odpověď.,Я жду ответа.,Я чекаю на відповідь.,Tvoje odpověď byla správná.,Твой ответ был правильным.,Твоя відповідь була правильна.
343,odpovídat,гл.,несов.,,A1,Общение и речь,отвечать,відповідати,to answer; to reply,,,,Odpovídám na e-maily.,Я отвечаю на письма.,Я відповідаю на листи.,Neodpovídá mi na zprávy.,Он не отвечает на мои сообщения.,Він не відповідає на мої повідомлення.
344,opakovat,гл.,несов.,,A1,Общение и речь,повторять,повторювати,to repeat,,,,Opakuji to každý den.,Я повторяю это каждый день.,Я повторюю це щодня.,Můžete to opakovat?,Можете повторить?,Можете повторити?
345,otázka,сущ.,ж.р.,otázky,A1,Общение и речь,вопрос,питання,question,,"question,questionmark","https://loremflickr.com/640/480/question,questionmark",Mám jednu otázku.,У меня один вопрос.,У мене одне питання.,To je dobrá otázka.,Это хороший вопрос.,Це гарне питання.
346,poslouchat,гл.,несов.,,A1,Общение и речь,слушать,слухати,to listen,,listening,https://loremflickr.com/640/480/listening,Poslouchám hudbu.,Я слушаю музыку.,Я слухаю музику.,"Poslouchej mě, prosím.","Послушай меня, пожалуйста.","Послухай мене, будь ласка."
347,pravda,сущ.,ж.р.,pravdy,A1,Общение и речь,правда,правда,truth,,,,Máš pravdu.,Ты прав.,Ти маєш рацію.,To není pravda.,Это неправда.,Це неправда.
348,představit se,гл.,сов.,,A1,Общение и речь,представиться,представитися,to introduce oneself,,,,Můžu se představit?,Можно представиться?,Можна представитися?,Představil jsem se šéfovi.,Я представился начальнику.,Я представився начальнику.
349,ptát se,гл.,несов.,,A1,Общение и речь,спрашивать,запитувати,to ask,,,,Ptám se na cestu.,Я спрашиваю дорогу.,Я питаю дорогу.,Zeptej se prodavače.,Спроси у продавца.,Запитай у продавця.
350,rozumět,гл.,несов.,,A1,Общение и речь,понимать,розуміти,to understand,,,,Nerozumím vám.,Я вас не понимаю.,Я вас не розумію.,Rozumíš česky?,Ты понимаешь по-чешски?,Ти розумієш чеською?
351,říct,гл.,сов.,,A1,Общение и речь,сказать,сказати,to say; to tell,,,,Co jsi řekl?,Что ты сказал?,Що ти сказав?,Řekni mi pravdu.,Скажи мне правду.,Скажи мені правду.
352,říkat,гл.,несов.,,A1,Общение и речь,говорить; называть,казати,to say; to call,,,,Co tomu říkáš?,Что ты на это скажешь?,Що ти на це скажеш?,Jak se tomu říká česky?,Как это называется по-чешски?,Як це називається чеською?
353,slovo,сущ.,ср.р.,slova,A1,Общение и речь,слово,слово,word,,word,https://loremflickr.com/640/480/word,Neznám to slovo.,Я не знаю это слово.,Я не знаю цього слова.,Napiš pět nových slov.,Напиши пять новых слов.,Напиши п'ять нових слів.
354,slyšet,гл.,несов.,,A1,Общение и речь,слышать,чути,to hear,,,,Slyším tě dobře.,Я тебя хорошо слышу.,Я тебе добре чую.,"Neslyšel jsem, co jsi řekl.","Я не расслышал, что ты сказал.","Я не розчув, що ти сказав."
355,telefonovat,гл.,несов.,,A1,Общение и речь,звонить по телефону,телефонувати,to phone; to call,,"phone,call","https://loremflickr.com/640/480/phone,call",Telefonuji mamince.,Я звоню маме.,Я телефоную мамі.,Netelefonuj mi v noci.,Не звони мне ночью.,Не телефонуй мені вночі.
356,věta,сущ.,ж.р.,věty,A1,Общение и речь,предложение (фраза),речення,sentence,,,,Napiš celou větu.,Напиши целое предложение.,Напиши ціле речення.,Ta věta je gramaticky správně.,Это предложение грамматически верно.,Це речення граматично правильне.
357,zavolat,гл.,сов.,,A1,Общение и речь,позвонить; позвать,подзвонити; покликати,to call; to phone,,,,Zavolám ti večer.,Я позвоню тебе вечером.,Я зателефоную тобі ввечері.,Zavolejte policii!,Вызовите полицию!,Викличте поліцію!
358,zpráva,сущ.,ж.р.,zprávy,A1,Общение и речь,сообщение; новость,повідомлення; новина,message; news,,news,https://loremflickr.com/640/480/news,Poslal jsem ti zprávu.,Я отправил тебе сообщение.,Я надіслав тобі повідомлення.,Mám dobrou zprávu.,У меня хорошая новость.,У мене гарна новина.
359,boty,сущ.,мн.ч.,bot,A1,Одежда,обувь; ботинки,взуття; черевики,shoes,,shoes,https://loremflickr.com/640/480/shoes,Kup si nové boty.,Купи себе новые ботинки.,Купи собі нові черевики.,Boty jsou mi malé.,Обувь мне мала.,Взуття мені замале.
360,bunda,сущ.,ж.р.,bundy,A1,Одежда,куртка,куртка,jacket,,jacket,https://loremflickr.com/640/480/jacket,"Vezmi si bundu, je zima.","Надень куртку, холодно.","Одягни куртку, холодно.",Bunda visí v předsíni.,Куртка висит в прихожей.,Куртка висить у передпокої.
361,čepice,сущ.,ж.р.,čepice,A1,Одежда,шапка,шапка,cap; hat,,"cap,hat","https://loremflickr.com/640/480/cap,hat",V zimě nosím čepici.,Зимой я ношу шапку.,Взимку я ношу шапку.,Kde mám čepici?,Где моя шапка?,Де моя шапка?
362,džíny,сущ.,мн.ч.,džín,A1,Одежда,джинсы,джинси,jeans,,jeans,https://loremflickr.com/640/480/jeans,Nosím džíny každý den.,Я ношу джинсы каждый день.,Я ношу джинси щодня.,Ty džíny jsou nové.,Эти джинсы новые.,Ці джинси нові.
363,kabát,сущ.,м.р.,kabátu,A1,Одежда,пальто,пальто,coat,,coat,https://loremflickr.com/640/480/coat,"Venku je zima, vezmi si kabát.","На улице холодно, надень пальто.","Надворі холодно, одягни пальто.",Kabát je moc drahý.,Пальто слишком дорогое.,Пальто надто дороге.
364,kalhoty,сущ.,мн.ч.,kalhot,A1,Одежда,брюки,штани,trousers; pants,,trousers,https://loremflickr.com/640/480/trousers,Potřebuji nové kalhoty.,Мне нужны новые брюки.,Мені потрібні нові штани.,Kalhoty jsou dlouhé.,Брюки длинные.,Штани довгі.
365,košile,сущ.,ж.р.,košile,A1,Одежда,рубашка,сорочка,shirt,,shirt,https://loremflickr.com/640/480/shirt,Do práce nosím košili.,На работу я ношу рубашку.,На роботу я ношу сорочку.,Košile je bílá.,Рубашка белая.,Сорочка біла.
366,nosit,гл.,несов.,,A1,Одежда,носить,носити,to wear; to carry,,,,Nosím brýle.,Я ношу очки.,Я ношу окуляри.,Co nosíš do práce?,Что ты носишь на работу?,Що ти носиш на роботу?
367,oblečení,сущ.,ср.р.,oblečení,A1,Одежда,одежда,одяг,clothes,,clothes,https://loremflickr.com/640/480/clothes,Kupuju oblečení online.,Я покупаю одежду онлайн.,Я купую одяг онлайн.,Oblečení je v skříni.,Одежда в шкафу.,Одяг у шафі.
368,ponožky,сущ.,мн.ч.,ponožek,A1,Одежда,носки,шкарпетки,socks,,socks,https://loremflickr.com/640/480/socks,Kup mi ponožky.,Купи мне носки.,Купи мені шкарпетки.,Mám mokré ponožky.,У меня мокрые носки.,У мене мокрі шкарпетки.
369,sukně,сущ.,ж.р.,sukně,A1,Одежда,юбка,спідниця,skirt,,skirt,https://loremflickr.com/640/480/skirt,Má na sobě dlouhou sukni.,На ней длинная юбка.,На ній довга спідниця.,Sukně se mi líbí.,Юбка мне нравится.,Спідниця мені подобається.
370,svetr,сущ.,м.р.,svetru,A1,Одежда,свитер,светр,sweater; jumper,,sweater,https://loremflickr.com/640/480/sweater,Vezmi si teplý svetr.,Надень тёплый свитер.,Одягни теплий светр.,Svetr je z vlny.,Свитер из шерсти.,Светр із вовни.
371,šaty,сущ.,мн.ч.,šatů,A1,Одежда,платье,сукня,dress,,dress,https://loremflickr.com/640/480/dress,Koupila si nové šaty.,Она купила новое платье.,Вона купила нову сукню.,Ty šaty jsou krásné.,Это платье красивое.,Ця сукня гарна.
372,tričko,сущ.,ср.р.,trička,A1,Одежда,футболка,футболка,T-shirt,,tshirt,https://loremflickr.com/640/480/tshirt,V létě nosím tričko.,Летом я ношу футболку.,Влітку я ношу футболку.,Tričko je špinavé.,Футболка грязная.,Футболка брудна.
373,déšť,сущ.,м.р.,deště,A1,Погода,дождь,дощ,rain,,rain,https://loremflickr.com/640/480/rain,Venku je déšť.,На улице дождь.,Надворі дощ.,Po dešti je čerstvý vzduch.,После дождя свежий воздух.,Після дощу свіже повітря.
374,horko,сущ.,ср.р.,horka,A1,Погода,жара,спека,heat,,"heat,sun","https://loremflickr.com/640/480/heat,sun",V létě je tady horko.,Летом здесь жарко.,Влітку тут спекотно.,Nesnáším horko.,Я не выношу жару.,Я не зношу спеку.
375,počasí,сущ.,ср.р.,počasí,A1,Погода,погода,погода,weather,,weather,https://loremflickr.com/640/480/weather,Jaké je dnes počasí?,Какая сегодня погода?,Яка сьогодні погода?,Počasí se zlepšilo.,Погода улучшилась.,Погода покращилася.
376,pršet,гл.,несов.,,A1,Погода,идти (о дожде),дощити,to rain,,rain,https://loremflickr.com/640/480/rain,Venku prší.,На улице идёт дождь.,Надворі йде дощ.,Včera pršelo celý den.,Вчера весь день шёл дождь.,Учора весь день ішов дощ.
377,slunce,сущ.,ср.р.,slunce,A1,Погода,солнце,сонце,sun,,sun,https://loremflickr.com/640/480/sun,Svítí slunce.,Светит солнце.,Світить сонце.,Sedíme na slunci.,Мы сидим на солнце.,Ми сидимо на сонці.
378,sníh,сущ.,м.р.,sněhu,A1,Погода,снег,сніг,snow,,snow,https://loremflickr.com/640/480/snow,Venku je hodně sněhu.,На улице много снега.,Надворі багато снігу.,Sníh už roztál.,Снег уже растаял.,Сніг уже розтанув.
379,teplo,сущ.,ср.р.,tepla,A1,Погода,тепло,тепло,warmth; warm,,"warm,sun","https://loremflickr.com/640/480/warm,sun",Dnes je teplo.,Сегодня тепло.,Сьогодні тепло.,Je mi teplo.,Мне тепло.,Мені тепло.
380,vítr,сущ.,м.р.,větru,A1,Погода,ветер,вітер,wind,,wind,https://loremflickr.com/640/480/wind,Fouká silný vítr.,Дует сильный ветер.,Дме сильний вітер.,Vítr je studený.,Ветер холодный.,Вітер холодний.
381,banka,сущ.,ж.р.,banky,A1,Покупки и деньги,банк,банк,bank,,bank,https://loremflickr.com/640/480/bank,Musím jít do banky.,Мне нужно в банк.,Мені треба в банк.,Banka je otevřená do pěti.,Банк открыт до пяти.,Банк відчинений до п'ятої.
382,bankomat,сущ.,м.р.,bankomatu,A1,Покупки и деньги,банкомат,банкомат,ATM; cash machine,,atm,https://loremflickr.com/640/480/atm,Kde je nejbližší bankomat?,Где ближайший банкомат?,Де найближчий банкомат?,Vybírám peníze z bankomatu.,Я снимаю деньги в банкомате.,Я знімаю гроші в банкоматі.
383,cena,сущ.,ж.р.,ceny,A1,Покупки и деньги,цена,ціна,price,,"price,tag","https://loremflickr.com/640/480/price,tag",Jaká je cena?,Какая цена?,Яка ціна?,Ceny stále rostou.,Цены всё время растут.,Ціни постійно зростають.
384,drahý,прил.,,,A1,Покупки и деньги,дорогой,дорогий,expensive,,expensive,https://loremflickr.com/640/480/expensive,Ten byt je moc drahý.,Эта квартира слишком дорогая.,Ця квартира надто дорога.,Praha je drahé město.,Прага — дорогой город.,Прага — дороге місто.
385,karta,сущ.,ж.р.,karty,A1,Покупки и деньги,карта,картка,card,,"credit,card","https://loremflickr.com/640/480/credit,card",Platím kartou.,Я плачу картой.,Я плачу карткою.,Karta mi nefunguje.,У меня не работает карта.,У мене не працює картка.
386,koruna,сущ.,ж.р.,koruny,A1,Покупки и деньги,крона,крона,crown (Czech currency),,"koruna,money","https://loremflickr.com/640/480/koruna,money",Stojí to sto korun.,Это стоит сто крон.,Це коштує сто крон.,Nemám ani korunu.,У меня нет ни кроны.,У мене немає ні крони.
387,koupit,гл.,сов.,,A1,Покупки и деньги,купить,купити,to buy,,"shopping,buying","https://loremflickr.com/640/480/shopping,buying",Koupil jsem si nový telefon.,Я купил себе новый телефон.,Я купив собі новий телефон.,Kup prosím chleba.,"Купи, пожалуйста, хлеб.","Купи, будь ласка, хліб."
388,levný,прил.,,,A1,Покупки и деньги,дешёвый,дешевий,cheap,,cheap,https://loremflickr.com/640/480/cheap,Tohle je levné.,Это дёшево.,Це дешево.,Hledám levný byt.,Я ищу дешёвую квартиру.,Я шукаю дешеву квартиру.
389,lékárna,сущ.,ж.р.,lékárny,A1,Покупки и деньги,аптека,аптека,pharmacy; chemist's,,pharmacy,https://loremflickr.com/640/480/pharmacy,Musím do lékárny pro léky.,Мне нужно в аптеку за лекарствами.,Мені треба в аптеку по ліки.,Lékárna je vedle metra.,Аптека рядом с метро.,Аптека поруч із метро.
390,nakupovat,гл.,несов.,,A1,Покупки и деньги,делать покупки,купувати,to shop; to go shopping,,shopping,https://loremflickr.com/640/480/shopping,Nakupuji v supermarketu.,Я делаю покупки в супермаркете.,Я купую в супермаркеті.,Nakupuji jednou týdně.,Я делаю покупки раз в неделю.,Я купую раз на тиждень.
391,nákup,сущ.,м.р.,nákupu,A1,Покупки и деньги,покупка,покупка,shopping; purchase,,shopping,https://loremflickr.com/640/480/shopping,Jdu na nákup.,Я иду за покупками.,Я йду по покупки.,Nákup stál pět set korun.,Покупка стоила пятьсот крон.,Покупка коштувала п'ятсот крон.
392,obchod,сущ.,м.р.,obchodu,A1,Покупки и деньги,магазин; торговля,магазин; торгівля,shop; store; trade,,shop,https://loremflickr.com/640/480/shop,Obchod je zavřený.,Магазин закрыт.,Магазин зачинений.,V tom obchodě mají levné ovoce.,В том магазине дешёвые фрукты.,У тому магазині дешеві фрукти.
393,peníze,сущ.,мн.ч.,peněz,A1,Покупки и деньги,деньги,гроші,money,,money,https://loremflickr.com/640/480/money,Nemám peníze.,У меня нет денег.,У мене немає грошей.,Kolik peněz potřebuješ?,Сколько денег тебе нужно?,Скільки грошей тобі потрібно?
394,pokladna,сущ.,ж.р.,pokladny,A1,Покупки и деньги,касса,каса,checkout; cash desk,,"checkout,cashier","https://loremflickr.com/640/480/checkout,cashier",Zaplaťte u pokladny.,Оплатите на кассе.,Оплатіть на касі.,U pokladny je fronta.,У кассы очередь.,Біля каси черга.
395,prodavač,сущ.,м.р.,prodavače,A1,Покупки и деньги,продавец,продавець,shop assistant,,"cashier,shop","https://loremflickr.com/640/480/cashier,shop",Zeptej se prodavače.,Спроси у продавца.,Запитай у продавця.,Prodavačka byla milá.,Продавщица была приветливая.,Продавчиня була привітна.
396,supermarket,сущ.,м.р.,supermarketu,A1,Покупки и деньги,супермаркет,супермаркет,supermarket,,supermarket,https://loremflickr.com/640/480/supermarket,Jdu do supermarketu.,Я иду в супермаркет.,Я йду в супермаркет.,V supermarketu mají slevy.,В супермаркете скидки.,У супермаркеті знижки.
397,taška,сущ.,ж.р.,tašky,A1,Покупки и деньги,сумка; пакет,сумка; пакет,bag,,bag,https://loremflickr.com/640/480/bag,Potřebuji tašku.,Мне нужен пакет.,Мені потрібен пакет.,Taška je těžká.,Сумка тяжёлая.,Сумка важка.
398,zaplatit,гл.,сов.,,A1,Покупки и деньги,заплатить,заплатити,to pay,,"payment,paying","https://loremflickr.com/640/480/payment,paying",Zaplatím kartou.,Я заплачу картой.,Я заплачу карткою.,Zaplatil jsi už?,Ты уже заплатил?,Ти вже заплатив?
399,Co to znamená?,фраза,,,A1,Полезные фразы,Что это значит?,Що це означає?,,,,,Co to znamená?,Что это значит?,Що це означає?,"Nevím, co to znamená.","Я не знаю, что это значит.","Я не знаю, що це означає."
400,Dobrou chuť,фраза,,,A1,Полезные фразы,Приятного аппетита,Смачного,,,,,Dobrou chuť!,Приятного аппетита!,Смачного!,"Děkuji, dobrou chuť i vám.","Спасибо, и вам приятного аппетита.","Дякую, і вам смачного."
401,Jak se jmenuješ?,фраза,,,A1,Полезные фразы,Как тебя зовут?,Як тебе звати?,,,,,Jak se jmenuješ?,Как тебя зовут?,Як тебе звати?,Jmenuji se Viktor. A ty?,Меня зовут Виктор. А тебя?,Мене звати Віктор. А тебе?
402,Kde je...?,фраза,,,A1,Полезные фразы,Где находится...?,Де знаходиться...?,,,,,Kde je nádraží?,Где вокзал?,Де вокзал?,Kde je tady lékárna?,Где здесь аптека?,Де тут аптека?
403,Kolik to stojí?,фраза,,,A1,Полезные фразы,Сколько это стоит?,Скільки це коштує?,,,,,Kolik to stojí?,Сколько это стоит?,Скільки це коштує?,Kolik stojí jízdenka?,Сколько стоит билет?,Скільки коштує квиток?
404,Mám se dobře,фраза,,,A1,Полезные фразы,У меня всё хорошо,У мене все добре,,,,,"Mám se dobře, děkuji.","У меня всё хорошо, спасибо.","У мене все добре, дякую.","Mám se dobře, a ty?","У меня всё хорошо, а у тебя?","У мене все добре, а в тебе?"
405,Mluvíte anglicky?,фраза,,,A1,Полезные фразы,Вы говорите по-английски?,Ви говорите англійською?,,,,,Mluvíte anglicky?,Вы говорите по-английски?,Ви говорите англійською?,Bohužel nemluvím anglicky.,"К сожалению, я не говорю по-английски.","На жаль, я не говорю англійською."
406,Mluvte prosím pomaleji,фраза,,,A1,Полезные фразы,"Говорите, пожалуйста, медленнее","Говоріть, будь ласка, повільніше",,,,,Mluvte prosím pomaleji.,"Говорите, пожалуйста, медленнее.","Говоріть, будь ласка, повільніше.","Nerozumím, mluvte pomaleji.","Я не понимаю, говорите медленнее.","Я не розумію, говоріть повільніше."
407,Můžete to zopakovat?,фраза,,,A1,Полезные фразы,Можете повторить?,Можете повторити?,,,,,Můžete to zopakovat?,Можете повторить?,Можете повторити?,"Promiňte, můžete to zopakovat?","Извините, можете повторить?","Вибачте, можете повторити?"
408,Nemám čas,фраза,,,A1,Полезные фразы,У меня нет времени,У мене немає часу,,,,,"Nemám čas, promiň.","У меня нет времени, извини.","Я не маю часу, вибач.",Dnes nemám čas.,Сегодня у меня нет времени.,Сьогодні я не маю часу.
409,Nerozumím,фраза,,,A1,Полезные фразы,Я не понимаю,Я не розумію,,,,,"Nerozumím, promiňte.","Я не понимаю, извините.","Я не розумію, вибачте.",Nerozumím tomu slovu.,Я не понимаю это слово.,Я не розумію цього слова.
410,Odkud jsi?,фраза,,,A1,Полезные фразы,Откуда ты?,Звідки ти?,,,,,Odkud jsi?,Откуда ты?,Звідки ти?,Jsem z Ukrajiny. A ty odkud jsi?,Я из Украины. А ты откуда?,Я з України. А ти звідки?
411,Potřebuji pomoc,фраза,,,A1,Полезные фразы,Мне нужна помощь,Мені потрібна допомога,,,,,Potřebuji pomoc.,Мне нужна помощь.,Мені потрібна допомога.,Potřebuji pomoc s formulářem.,Мне нужна помощь с анкетой.,Мені потрібна допомога з анкетою.
412,Zaplatím kartou,фраза,,,A1,Полезные фразы,Я заплачу картой,Я заплачу карткою,,,,,"Zaplatím kartou, prosím.","Я заплачу картой, пожалуйста.","Я заплачу карткою, будь ласка.",Můžu zaplatit kartou?,Можно заплатить картой?,Чи можу заплатити карткою?
413,Zaplatíme,фраза,,,A1,Полезные фразы,"Счёт, пожалуйста","Рахунок, будь ласка",,,,,"Zaplatíme, prosím.","Счёт, пожалуйста.","Рахунок, будь ласка.",Zaplatíme zvlášť.,Заплатим раздельно.,Заплатимо окремо.
414,dárek,сущ.,м.р.,dárku,A1,Праздники,подарок,подарунок,present; gift,,gift,https://loremflickr.com/640/480/gift,Koupil jsem ti dárek.,Я купил тебе подарок.,Я купив тобі подарунок.,Dárek je pod stromečkem.,Подарок под ёлкой.,Подарунок під ялинкою.
415,Vánoce,сущ.,мн.ч.,Vánoc,A1,Праздники,Рождество,Різдво,Christmas,,christmas,https://loremflickr.com/640/480/christmas,Vánoce trávím s rodinou.,Рождество я провожу с семьёй.,Різдво я проводжу з родиною.,Veselé Vánoce!,С Рождеством!,Веселого Різдва!
416,bez,предл.,,,A1,Предлоги,без,без,without,,,,Piju kávu bez cukru.,Я пью кофе без сахара.,Я п'ю каву без цукру.,Bez tebe to nezvládnu.,Без тебя я не справлюсь.,Без тебе я не впораюся.
417,do,предл.,,,A1,Предлоги,в (куда); до,до,to; into; until,,,,Jdu do obchodu.,Я иду в магазин.,Я йду в магазин.,Čekám do pěti hodin.,Я жду до пяти часов.,Я чекаю до п'ятої години.
418,k,предл.,,,A1,Предлоги,к,до; к,to; towards,,,,Jdu k lékaři.,Я иду к врачу.,Я йду до лікаря.,Přijď ke mně.,Приходи ко мне.,Приходь до мене.
419,na,предл.,,,A1,Предлоги,на,на,on; onto,,,,Kniha je na stole.,Книга на столе.,Книга на столі.,Jdu na poštu.,Я иду на почту.,Я йду на пошту.
420,o,предл.,,,A1,Предлоги,о; об,про,about,,,,Mluvíme o práci.,Мы говорим о работе.,Ми говоримо про роботу.,Je to film o lásce.,Это фильм о любви.,Це фільм про кохання.
421,od,предл.,,,A1,Предлоги,от,від,from,,,,Dostal jsem dopis od banky.,Я получил письмо от банка.,Я отримав лист від банку.,Bydlím tu od ledna.,Я живу здесь с января.,Я живу тут із січня.
422,po,предл.,,,A1,Предлоги,после; по,після; по,after; along,,,,Po práci jdu domů.,После работы я иду домой.,Після роботи я йду додому.,Chodím po městě.,Я хожу по городу.,Я ходжу по місту.
423,pro,предл.,,,A1,Предлоги,для,для,for,,,,Je to dárek pro tebe.,Это подарок для тебя.,Це подарунок для тебе.,Dělám to pro rodinu.,Я делаю это для семьи.,Я роблю це для родини.
424,před,предл.,,,A1,Предлоги,перед; тому назад,перед; тому,in front of; ago,,,,Sejdeme se před kinem.,Встретимся перед кинотеатром.,Зустрінемося перед кінотеатром.,Přijel jsem před rokem.,Я приехал год назад.,Я приїхав рік тому.
425,s,предл.,,,A1,Предлоги,с,з,with,,,,Jdu tam s kamarádem.,Я иду туда с другом.,Я йду туди з другом.,"Kávu s mlékem, prosím.","Кофе с молоком, пожалуйста.","Каву з молоком, будь ласка."
426,u,предл.,,,A1,Предлоги,у; возле,біля,at; near,,,,Sejdeme se u metra.,Встретимся у метро.,Зустрінемося біля метро.,Byl jsem u lékaře.,Я был у врача.,Я був у лікаря.
427,v,предл.,,,A1,Предлоги,в,у; в,in,,,,Bydlím v Praze.,Я живу в Праге.,Я живу в Празі.,Peníze mám v tašce.,Деньги у меня в сумке.,Гроші в мене в сумці.
